Code,Name,ZipCode
4100103,ABATIA,86460
4100202,ADRIANOPOLIS,83490
4100301,AGUDOS DO SUL,83850
4100400,ALMIRANTE TAMANDARE,83500
4100459,ALTAMIRA DO PARANA,85280
4100509,ALTONIA,87550
4100608,ALTO PARANA,87750
4100707,ALTO PIQUIRI,87580
4100806,ALVORADA DO SUL,86150
4100905,AMAPORA,87850
4101002,AMPERE,85640
4101051,ANANY,85425
4101101,ANDIRA,86380
4101150,ANGULO,86755
4101200,ANTONINA,83370
4101309,ANTONIO OLINTO,83980
4101408,APUCARANA,86800
4101507,ARAPONGAS,86700
4101606,ARAPOTI,84990
4101655,ARAPUA,86884
4101705,ARARUNA,87260
4101804,ARAUCARIA,83700
4101853,ARIRANHA DO IVAI,86880
4101903,ASSAI,86220
4102000,ASSIS CHATEAUBRIAND,85935
4102109,ASTORGA,86730
4102208,ATALAIA,87630
4102307,BALSA NOVA,83650
4102406,BANDEIRANTES,86360
4102505,BARBOSA FERRAZ,86960
4102604,BARRACAO,85700
4102703,BARRA DO JACARE,86385
4102752,BELA VISTA DO CAROBA,85745
4102802,BELA VISTA DO PARAISO,86130
4102901,BITURUNA,84640
4103008,BOA ESPERANCA,87390
4103024,BOA ESPERANCA DO IGUACU,85680
4103040,BOA VENTURA DE SAO ROQUE,85225
4103057,BOA VISTA DA APARECIDA,85780
4103107,BOCAIUVA DO SUL,83450
4103156,BOM JESUS DO SUL,85708
4103206,BOM SUCESSO,86940
4103222,BOM SUCESSO DO SUL,85515
4103305,BORRAZOPOLIS,86925
4103354,BRAGANEY,85430
4103370,BRASILANDIA DO SUL,87595
4103404,CAFEARA,86640
4103453,CAFELANDIA,85415
4103479,CAFEZAL DO SUL,87565
4103503,CALIFORNIA,86820
4103602,CAMBARA,86390
4103701,CAMBE,86180
4103800,CAMBIRA,86890
4103909,CAMPINA DA LAGOA,87345
4103958,CAMPINA DO SIMAO,85148
4104006,CAMPINA GRANDE DO SUL,83430
4104055,CAMPO BONITO,85450
4104105,CAMPO DO TENENTE,83870
4104204,CAMPO LARGO,83600
4104253,CAMPO MAGRO,83535
4104303,CAMPO MOURAO,87300
4104402,CANDIDO DE ABREU,84470
4104428,CANDOI,85140
4104451,CANTAGALO,85160
4104501,CAPANEMA,85760
4104600,CAPITAO LEONIDAS MARQUES,85790
4104659,CARAMBEI,84145
4104709,CARLOPOLIS,86420
4104808,CASCAVEL,85800
4104907,CASTRO,84160
4105003,CATANDUVAS,85470
4105102,CENTENARIO DO SUL,86630
4105201,CERRO AZUL,83570
4105300,CEU AZUL,85840
4105409,CHOPINZINHO,85560
4105508,CIANORTE,87200
4105607,CIDADE GAUCHA,87820
4105706,CLEVELANDIA,85530
4105805,COLOMBO,83400
4105904,COLORADO,86690
4106001,CONGONHINHAS,86320
4106100,CONSELHEIRO MAIRINCK,86480
4106209,CONTENDA,83730
4106308,CORBELIA,85420
4106407,CORNELIO PROCOPIO,86300
4106456,CORONEL DOMINGOS SOARES,85557
4106506,CORONEL VIVIDA,85550
4106555,CORUMBATAI DO SUL,86970
4106571,CRUZEIRO DO IGUACU,85598
4106605,CRUZEIRO DO OESTE,87400
4106704,CRUZEIRO DO SUL,87650
4106803,CRUZ MACHADO,84620
4106852,CRUZMALTINA,86855
4106902,CURITIBA,80000
4107009,CURIUVA,84280
4107108,DIAMANTE DO NORTE,87990
4107124,DIAMANTE DO SUL,85408
4107157,DIAMANTE D OESTE,85896
4107207,DOIS VIZINHOS,85660
4107256,DOURADINA,87485
4107306,DOUTOR CAMARGO,87155
4107405,ENEAS MARQUES,85630
4107504,ENGENHEIRO BELTRAO,87270
4107520,ESPERANCA NOVA,87545
4107538,ENTRE RIOS DO OESTE,85988
4107546,ESPIGAO ALTO DO IGUACU,85465
4107553,FAROL,87325
4107603,FAXINAL,86840
4107652,FAZENDA RIO GRANDE,83820
4107702,FENIX,86950
4107736,FERNANDES PINHEIRO,84535
4107751,FIGUEIRA,84285
4107801,FLORAI,87185
4107850,FLOR DA SERRA DO SUL,85618
4107900,FLORESTA,87120
4108007,FLORESTOPOLIS,86165
4108106,FLORIDA,86780
4108205,FORMOSA DO OESTE,85830
4108304,FOZ DO IGUACU,85850
4108320,FRANCISCO ALVES,87570
4108403,FRANCISCO BELTRAO,85600
4108452,FOZ DO JORDAO,85145
4108502,GENERAL CARNEIRO,84660
4108551,GODOY MOREIRA,86938
4108601,GOIOERE,87360
4108650,GOIOXIM,85162
4108700,GRANDES RIOS,86845
4108809,GUAIRA,85980
4108908,GUAIRACA,87880
4108957,GUAMIRANGA,84435
4109005,GUAPIRAMA,86465
4109104,GUAPOREMA,87810
4109203,GUARACI,86620
4109302,GUARANIACU,85400
4109401,GUARAPUAVA,85000
4109500,GUARAQUECABA,83390
4109609,GUARATUBA,83280
4109658,HONORIO SERPA,85548
4109708,IBAITI,84900
4109757,IBEMA,85478
4109807,IBIPORA,86200
4109906,ICARAIMA,87530
4110003,IGUARACU,86750
4110052,IGUATU,85423
4110078,IMBAU,84250
4110102,IMBITUVA,84430
4110201,INACIO MARTINS,85155
4110300,INAJA,87670
4110409,INDIANOPOLIS,87210
4110508,IPIRANGA,84450
4110607,IPORA,87560
4110656,IRACEMA DO OESTE,85833
4110706,IRATI,84500
4110805,IRETAMA,87280
4110904,ITAGUAJE,86670
4110953,ITAIPULANDIA,85880
4111001,ITAMBARACA,86375
4111100,ITAMBE,87175
4111209,ITAPEJARA D OESTE,85580
4111258,ITAPERUCU,83560
4111308,ITAUNA DO SUL,87980
4111407,IVAI,84460
4111506,IVAIPORA,86870
4111555,IVATE,87525
4111605,IVATUBA,87130
4111704,JABOTI,84930
4111803,JACAREZINHO,86400
4111902,JAGUAPITA,86610
4112009,JAGUARIAIVA,84200
4112108,JANDAIA DO SUL,86900
4112207,JANIOPOLIS,87380
4112306,JAPIRA,84920
4112405,JAPURA,87225
4112504,JARDIM ALEGRE,86860
4112603,JARDIM OLINDA,87690
4112702,JATAIZINHO,86210
4112751,JESUITAS,85835
4112801,JOAQUIM TAVORA,86455
4112900,JUNDIAI DO SUL,86470
4112959,JURANDA,87355
4113007,JUSSARA,87230
4113106,KALORE,86920
4113205,LAPA,83750
4113254,LARANJAL,85275
4113304,LARANJEIRAS DO SUL,85300
4113403,LEOPOLIS,86330
4113429,LIDIANOPOLIS,86865
